precio|enlace|descripcion|area|habitaciones|banios|pais|localidad|region|direccion|latitude|longitude
$ 480,000|/inmueble/77c6-a115-3df739a3-de9b3d06f34-46a1|Casa en  Santiago De Surco, Lima|386.5m2|4|3|PE|Santiago de Surco, Lima|Lima Departamento||-12.1323757|-77.0010266
$ 159,000|/inmueble/586044|Casa en  Unidad Vecinal Mirones, Cercado De Lima, Perú|161m2|6|2|PE|Cercado de Lima, Lima|Lima Departamento|Unidad Vecinal Mirones, Cercado De Lima, Perú|-12.0523494|-77.06939799999999
$ 500,000|/inmueble/465945|Casa en  Urb Las Brisas De Villa, Chorrillos, Perú|300m2|3|2|PE|Chorrillos, Lima|Lima Departamento|Urb Las Brisas De Villa, Chorrillos, Perú|-12.2169099|-76.997427
$ 1,315,000|/inmueble/91f3-80e1-2506455-cf9d2193f79-4ffa|Casa en  Calle Ricardo Rossel, San Isidro, Perú|468m2|5|3|PE|El Olivar, San Isidro, Lima|Lima Departamento|Calle Ricardo Rossel, San Isidro, Perú|-12.106519|-77.0346744
$ 1,780,000|/inmueble/1e7e-92d3-4a969d95-77a93665330a-4ff6|Casa en  Las Tortolas, Lima, Perú|1,031m2|4|4|PE|Rinconada Baja, La Molina, Lima|Lima Departamento|Las Tortolas, Lima, Perú|-12.0928734|-76.9336769
$ 1,150,000|/inmueble/d4cd-b657-f1428ed-47a8128b0056-46f2|Casa en  Nueva Toledo, Cieneguilla, Perú|3,354m2|5|4|PE|Cieneguilla, Lima|Lima Departamento|Nueva Toledo, Cieneguilla, Perú|-12.0992532|-76.7888665
$ 649,700|/inmueble/540672|Casa en  Calle Los Fresnos 1, Santiago De Surco, Perú|450m2|5|4|PE|Santiago de Surco, Lima|Lima Departamento|Calle Los Fresnos 1, Santiago De Surco, Perú|-12.1255183|-76.9757249
$ 600,000|/inmueble/448951|Casa en  San Borja, Lima|315m2|4|2|PE|San Borja, Lima|Lima Departamento||-12.0894238|-76.9873702
$ 720,000|/inmueble/229740|Casa en  Cercado De Lima, Lima|247m2|3|4|PE|Cercado de Lima, Lima|Lima Departamento||-12.14230810049821|-77.02321764081717
$ 270,000|/inmueble/46b7-921a-ca99127a-4aade1fc7b03-4f1f|Casa en  Los Paujiles, Santa Anita, Perú|126.6m2|6|4|PE|Santa Anita, Lima|Lima Departamento|Los Paujiles, Santa Anita, Perú|-12.0466484|-76.9663794
$ 796,400|/inmueble/195106|Casa en  Av. Manuel Villaran 495, Lima 15048, Perú|362m2|3|3|PE|San Antonio, Miraflores, Lima|Lima Departamento|Av. Manuel Villaran 495, Lima 15048, Perú|-12.122548083902903|-77.00649205595255
$ 1,500,000|/inmueble/438316|Casa en  Chacarilla, Distrito De San Isidro, Perú|607m2|4|4|PE|Santiago de Surco, Lima|Lima Departamento|Chacarilla, Distrito De San Isidro, Perú|-12.1008172|-77.0288513
$ 350,000|/inmueble/3c9a-867c-468902b6-5b6b7bda3546-1273|Casa en  Santiago De Surco, Lima|280m2|4|3|PE|Santiago de Surco, Lima|Lima Departamento||-12.1357491|-77.0106616
$ 165,000|/inmueble/e1fa-93f3-a7f04ff6-ac74cfc8fa31-4fc0|Casa en  C. 11 173, Los Olivos 15306, Perú|121m2|9|6|PE|Los Olivos, Lima|Lima Departamento|C. 11 173, Los Olivos 15306, Perú|-11.960772764658595|-77.0737066878357
$ 900,000|/inmueble/453287|Casa en  Jirón Batallón Callao Norte, Cercado De Lima, Perú|628m2|3|4|PE|Santiago de Surco, Lima|Lima Departamento|Jirón Batallón Callao Norte, Cercado De Lima, Perú|-12.1227403|-76.9811401
$ 670,000|/inmueble/439966|Casa en  La Encantada De Villa, Chorrillos, Perú|570m2|3|3|PE|Chorrillos, Lima|Lima Departamento|La Encantada De Villa, Chorrillos, Perú|-12.2118571|-77.0089452
$ 1,085,000|/inmueble/581001|Casa en  Santiago De Surco, Lima|475m2|5|7|PE|Santiago de Surco, Lima|Lima Departamento||-12.1236255|-76.9802151
$ 487,000|/inmueble/577175|Casa en  Fundo Paso Chico, Lurín, Perú|1,037m2|4|4|PE|Lurin, Lima|Lima Departamento|Fundo Paso Chico, Lurín, Perú|-12.2817954|-76.8468704
