precio|enlace|descripcion|area|habitaciones|banios|pais|localidad|region|direccion|latitude|longitude
$ 115,000|/inmueble/d693-bc9e-46ee4aab-11fcee312007-4c61|Departamento en  Jirón Tiahuanaco, San Juan De Lurigancho, Perú|117m2|3|2|PE|San Juan de Lurigancho, Lima|Lima Departamento|Jirón Tiahuanaco, San Juan De Lurigancho, Perú|-12.0267698|-77.006125
$ 58,000|/inmueble/5b8d-b8eb-46ab27d1-97d25dc7c09a-4263|Departamento en  Jirón Gral Canterac 460, Lima 15072, Perú|40.91m2|1|1|PE|Salaverry Et.2, Jesus Maria, Lima|Lima Departamento|Jirón Gral Canterac 460, Lima 15072, Perú|-12.071585882758493|-77.04600052083204
$ 285,000|/inmueble/c94f-9b78-fdcfbfa2-388022a23fdf-48a6|Departamento en  Av. Arnaldo Márquez 2086, Jesús María, Perú|164.86m2|3|3|PE|Salaverry Et.2, Jesus Maria, Lima|Lima Departamento|Av. Arnaldo Márquez 2086, Jesús María, Perú|-12.0809828|-77.0557432
$ 289,000|/inmueble/584940|Departamento en  San Isidro, Perú|145.7m2|3|3|PE|El Olivar, San Isidro, Lima|Lima Departamento|San Isidro, Perú|-12.0997587|-77.0362967
$ 130,000|/inmueble/9007-bd76-d50ec2d9-b28433ca8481-4b80|Departamento en  Calle Libertad 168, Miraflores, Perú|109m2|2|2|PE|Cercado de Miraflores, Miraflores, Lima|Lima Departamento|Calle Libertad 168, Miraflores, Perú|-12.1200909|-77.0328384
$ 239,000|/inmueble/335820|Departamento en  Av. Guardia Civil 1285, San Isidro 15036, Perú|210m2|3|3|PE|Corpac, San Isidro, Lima|Lima Departamento|Av. Guardia Civil 1285, San Isidro 15036, Perú|-12.1057886|-77.0161699
$ 200,000|/inmueble/f81f-b871-b5cc0a58-d68fa8878bc6-4667|Departamento en  Jirón Jerónimo De Aliaga, Surco, Perú|133m2|3|2|PE|Santiago de Surco, Lima|Lima Departamento|Jirón Jerónimo De Aliaga, Surco, Perú|-12.1079484|-76.9769368
$ 249,000|/inmueble/437550|Departamento en  Avenida Coronel Reynaldo Vivanco, Santiago De Surco, Perú|192m2|3|4|PE|Santiago de Surco, Lima|Lima Departamento|Avenida Coronel Reynaldo Vivanco, Santiago De Surco, Perú|-12.1176579|-76.9804681
$ 212,000|/inmueble/e54c-b344-b4b1c8d5-a92809924c4-443d|Departamento en  Jirón Los Amancaes 186, Santiago De Surco, Lima Province, Lima, Perú|115.2m2|3|2|PE|Santiago de Surco, Lima|Lima Departamento|Jirón Los Amancaes 186, Santiago De Surco, Lima Province, Lima, Perú|-12.1266551|-76.97056049999999
$ 110,400|/inmueble/4654-8ef9-34c00e76-8f137648d4a6-4af4|Departamento en  Risso, Lima|71m2|3|2|PE|Risso, Lince, Lima|Lima Departamento||-12.088088594351788|-77.03113908885496
$ 93,000|/inmueble/485286|Departamento en  Surquillo, Lima|54m2|2|2|PE|Surquillo, Lima|Lima Departamento||-12.113315517764278|-77.01019695245361
$ 160,000|/inmueble/589958|Departamento en  Oswaldo Hercelles, Barrio Médico, Surquillo, Perú|82m2|2|3|PE|San Antonio, Miraflores, Lima|Lima Departamento|Oswaldo Hercelles, Barrio Médico, Surquillo, Perú|-12.1155559|-77.0116219
$ 150,000|/inmueble/459823|Departamento en  La Molina, Perú|127m2|3|1|PE|La Planicie, La Molina, Lima|Lima Departamento|La Molina, Perú|-12.0820196|-76.928234
$ 126,000|/inmueble/380853|Departamento en  Calle Manet, Surquillo, Lima, Lima, Peru|70m2|2|1|PE|Surquillo, Lima|Lima Departamento|Calle Manet, Surquillo, Lima, Lima, Peru|-12.115732|-77.019021
$ 490,000|/inmueble/372676|Departamento en  San Borja, Lima|313m2|3|3|PE|San Borja, Lima|Lima Departamento||-12.0954443|-76.9947088
$ 248,000|/inmueble/459384|Departamento en  San Antonio, Lima|125m2|2|3|PE|San Antonio, Miraflores, Lima|Lima Departamento||-12.1305318|-77.02118220000001
$ 450,000|/inmueble/610121|Departamento en  Av. Buena Vista, San Borja 15037, Perú|234m2|3|3|PE|San Borja, Lima|Lima Departamento|Av. Buena Vista, San Borja 15037, Perú|-12.1033978|-76.9802192
$ 99,500|/inmueble/432240|Departamento en  Av. Guardia Republicana 12, Rímac, Perú|68m2|3|2|PE|Rimac, Lima|Lima Departamento|Av. Guardia Republicana 12, Rímac, Perú|-12.0309423|-77.03483320000001
