Empresa	Medio de Acceso	Mes	Departamento	Conexiones		
TV CABLE S.A. 		2004-02-01	PUNO	"1,329"		
TV CABLE SAN JUAN S.R.L. 		2004-02-01	LORETO	"4,616"		
TV CABLE SATÉLITE BAGUA E.I.R.L. 		2004-02-01	AMAZONAS	136		
TV CABLE Y TELECOMUNICACIONES S.A.C.		2004-02-01	JUNÍN	273		
XILEF ZILAO ROJAS BARDALES		2004-02-01	PIURA	440		
AMAZONIA T.V. S.R.LTDA		2004-03-01	SAN MARTÍN	602		
ANIBAL ESTRELLA CARTAGENA		2004-03-01	LIMA	30		
ANTENAS CABLE VISIÓN SATELITE S.A. 		2004-03-01	LIMA	"3,522"		
ASELEC INGENIEROS SRL		2004-03-01	LIMA	815		
ASOCIACIÓN COMUNITARIA TV. SATÉLITE VENTANILLA 		2004-03-01	LIMA	893		
BENJAMÍN SEGUNDO CARDENAS SALDAÑA 		2004-03-01	LIMA	791		
BOGA COMUNICACIONES S.A.		2004-03-01	LAMBAYEQUE	"4,200"		
BOGA COMUNICACIONES S.A.		2004-03-01	LIMA	"10,815"		
CABLE CLUB S.R.L.		2004-03-01	MOQUEGUA	575		
CABLE CLUB S.R.L.		2004-03-01	TACNA	330		
CABLE JAEN S.R.L.		2004-03-01	CAJAMARCA	946		
CABLE JUNIOR S.A.		2004-03-01	ICA	"1,696"		
"CABLE ORIENTE S.A. (ahora, CABLE ORIENTE PERUANO S.A.C.)"		2004-03-01	UCAYALI	666		
CABLE SISTEMAS S.R.L.		2004-03-01	APURÍMAC	136		
CABLE TELEVISIÓN PAIJAN E.I.R.L		2004-03-01	LA LIBERTAD	420		
CABLE VIDEO PERÚ S.A.C.		2004-03-01	LIMA	816		
CABLE VISIÓN CÁRDENAS E.I.R.L		2004-03-01	SAN MARTÍN	342		
CABLE VISIÓN CHACHAPOYAS E.I.R.L		2004-03-01	AMAZONAS	938		
CABLE VISIÓN DEL CENTRO S.R.L.		2004-03-01	AYACUCHO	"2,458"		
CABLE VISIÓN DEL NORTE S.A.C.		2004-03-01	LA LIBERTAD	"2,269"		
